SBSRF 笔画辅助码：部首偏旁与字母对应表 (TXT版)
============================================================
编码规则:
  1. 位于字首/左侧/上方 (Prefix): 使用该部首的【前两笔】映射字母 (辅助码第1位)
  2. 位于字末/右侧/下方 (Suffix): 使用该部首的【末两笔】映射字母 (辅助码第2位)
------------------------------------------------------------
部首   | 名称         | 常用位置     | 前两笔    | 首位码    | 末两笔    | 末位码   
立    | 立字头        | 仅开头      | 41     | y      | 31     | -     
穴    | 穴宝盖        | 仅开头      | 44     | o      | 34     | -     
衤    | 衣字旁        | 仅开头      | 45     | p      | 34     | -     
耳    | 耳字旁        | 开头/结尾    | 12     | f      | 15     | a     
西    | 西字头        | 仅开头      | 12     | f      | 51     | -     
页    | 页字旁        | 仅结尾      | 13     | -      | 34     | w     
龙    | 龙字旁        | 开头/结尾    | 13     | d      | 34     | w     
虍    | 虎字头        | 仅开头      | 21     | h      | 15     | -     
虫    | 虫字旁        | 开头/结尾    | 25     | m      | 14     | s     
舌    | 舌字旁        | 仅开头      | 31     | t      | 51     | -     
舟    | 舟字旁        | 仅开头      | 35     | q      | 41     | -     
衣    | 衣字旁        | 开头/结尾    | 41     | y      | 34     | w     
米    | 米字旁        | 开头/结尾    | 43     | i      | 34     | w     
酉    | 酉字旁        | 仅开头      | 12     | f      | 11     | -     
豕    | 豕字旁        | 仅开头      | 13     | d      | 34     | -     
足    | 足字旁        | 仅开头      | 25     | m      | 34     | -     
身    | 身字旁        | 仅开头      | 32     | r      | 11     | -     
身    | 身字底        | 仅结尾      | 32     | -      | 11     | g     
角    | 角字头        | 仅开头      | 35     | q      | 12     | -     
言    | 言字旁        | 开头/结尾    | 41     | y      | 51     | n     
其    | 其字底        | 仅结尾      | 12     | -      | 34     | w     
雨    | 雨字头        | 仅开头      | 12     | f      | 44     | -     
齿    | 齿字旁        | 开头/结尾    | 21     | h      | 52     | b     
隹    | 隹字旁        | 仅结尾      | 32     | -      | 21     | h     
金    | 金字旁        | 开头/结尾    | 34     | w      | 31     | t     
龟    | 龟字旁        | 开头/结尾    | 35     | q      | 51     | n     
鱼    | 鱼字旁        | 开头/结尾    | 35     | q      | 11     | g     
革    | 革字旁        | 仅开头      | 12     | f      | 12     | -     
骨    | 骨字旁        | 仅开头      | 25     | m      | 11     | -     
鬼    | 鬼字旁        | 仅开头      | 32     | r      | 54     | -     
鼓    | 鼓字旁        | 仅开头      | 12     | f      | 12     | -     
麻    | 麻字旁        | 仅开头      | 41     | y      | 34     | -     
鹿    | 鹿字旁        | 仅开头      | 41     | y      | 35     | -     
鼠    | 鼠字旁        | 仅开头      | 32     | r      | 45     | -     
鼻    | 鼻字旁        | 仅开头      | 32     | r      | 32     | -     
